Purchase_Order_Number_Combined,District_Code,Warehouse_Identification,FPA_Group,FPA_Agreement_Number,FPA_Item_Number,Supplier_Price_Code1,UOI_Original_Quantity,UOI_Original_Net_Price1,UOI_Current_Quantity1,UOI_Current_Net_Price,Total,Stock_Code,Item_Name_line,Stock_Description,Employee_Identification,FullName,Purchase_Order_Date,Supplier_Number,Supplier_Name,Item_Status_Code
random-0001,random text,random text,random text,0.592755094,258,random text,162.5454741,2719909.041,411.3422882,3199996.467,1863.071059,1307288.649,random text,random text,random text,random text,26/10/2014,random text,random text,1
random-0002,random text,random text,random text,0.88089796,133,random text,331.0936794,2958159.333,206.0019621,3772386.961,1199.869461,479984.2447,random text,random text,random text,random text,5/05/2001,random text,random text,1
random-0003,random text,random text,random text,0.2066218,119,random text,300.0726288,6052684.957,284.8183186,3127961.613,2696.81008,2034238.601,random text,random text,random text,random text,6/08/2011,random text,random text,1
random-0004,random text,random text,random text,0.693971065,182,random text,410.8381628,2313641.083,323.6693294,9565292.953,3304.503022,1009347.846,random text,random text,random text,random text,6/03/2003,random text,random text,1
random-0005,random text,random text,random text,0.859945739,40,random text,97.82765244,1256671.979,372.6903415,3346235.806,987.8233706,2702589.316,random text,random text,random text,random text,6/04/2008,random text,random text,1
random-0006,random text,random text,random text,0.297278383,61,random text,261.4786386,6079151.28,247.0164298,9858024.863,5152.66377,582496.5974,random text,random text,random text,random text,16/08/2008,random text,random text,1
random-0007,random text,random text,random text,0.411565777,251,random text,101.8212835,2909305.619,512.5819733,8806985.535,4740.58326,2972024.138,random text,random text,random text,random text,17/07/2014,random text,random text,1
random-0008,random text,random text,random text,0.459880847,63,random text,455.5152792,7870765.475,165.0497734,13078407.89,3285.560819,2537624.99,random text,random text,random text,random text,3/02/2001,random text,random text,1
random-0009,random text,random text,random text,0.617480245,252,random text,100.7368204,1925173.404,554.1301661,10384347.51,3789.081431,556884.7766,random text,random text,random text,random text,7/04/2012,random text,random text,1
random-0010,random text,random text,random text,0.548208995,79,random text,130.3668379,6806374.366,378.6036663,7249505.977,5381.07106,1297157.881,random text,random text,random text,random text,10/05/2008,random text,random text,1
random-0011,random text,random text,random text,0.80995123,262,random text,128.0668076,3910139.444,575.2288809,5566266.488,5763.780152,831831.7545,random text,random text,random text,random text,6/03/2010,random text,random text,1
random-0012,random text,random text,random text,0.641965687,35,random text,298.4418503,8332665.582,521.7950532,7496045.87,2236.862296,2814926.889,random text,random text,random text,random text,28/12/2003,random text,random text,1
random-0013,random text,random text,random text,0.578515048,196,random text,308.7117646,8275923.848,616.0258812,2768740.302,4017.870272,931258.906,random text,random text,random text,random text,21/11/2012,random text,random text,1
random-0014,random text,random text,random text,0.35047287,255,random text,221.3857784,2723470.036,302.0185146,3026049.445,973.055657,2455365.256,random text,random text,random text,random text,22/10/2008,random text,random text,1
random-0015,random text,random text,random text,0.404755854,123,random text,191.2721456,2291280.006,171.9453986,7275104.21,4780.170288,2254851.229,random text,random text,random text,random text,3/08/2007,random text,random text,1
random-0016,random text,random text,random text,0.736356898,125,random text,269.0386049,2014662.675,413.0607917,12908419.42,1119.420052,818567.6314,random text,random text,random text,random text,22/05/2001,random text,random text,1
random-0017,random text,random text,random text,0.800140911,115,random text,100.4194501,5193491.137,266.2359827,9026827.707,3637.949837,2530189.235,random text,random text,random text,random text,14/06/2010,random text,random text,1
random-0018,random text,random text,random text,0.145168606,74,random text,202.7817277,1786703.306,150.1275528,3652752.538,4999.675102,862970.2979,random text,random text,random text,random text,28/09/2013,random text,random text,1
random-0019,random text,random text,random text,0.197287042,177,random text,437.2024132,3552962.64,179.1099667,12148503.06,5155.349231,2080460.861,random text,random text,random text,random text,28/03/2002,random text,random text,1
random-0020,random text,random text,random text,0.363757759,85,random text,345.6809714,7125494.523,445.8428945,6342531.563,4616.668092,2272831.211,random text,random text,random text,random text,23/11/2007,random text,random text,1
random-0021,random text,random text,random text,0.709233675,242,random text,157.0942404,6957059.241,447.4146703,4863046.534,1862.32537,717737.795,random text,random text,random text,random text,17/01/2009,random text,random text,1
random-0022,random text,random text,random text,0.244270004,147,random text,456.816712,6575551.866,318.7884305,13033941.03,973.3206352,1742516.04,random text,random text,random text,random text,5/10/2002,random text,random text,1
random-0023,random text,random text,random text,0.725419911,115,random text,331.9868172,2395702.825,419.9401482,10394071.76,4341.665072,2274478.672,random text,random text,random text,random text,17/11/2004,random text,random text,1
random-0024,random text,random text,random text,0.706496995,240,random text,234.0431839,2196017.915,508.2107874,12078971.64,5560.107116,1300050.705,random text,random text,random text,random text,2/06/2010,random text,random text,1
random-0025,random text,random text,random text,0.396287736,200,random text,154.3555101,3393326.787,312.5693415,1578877.043,1222.413396,2366951.722,random text,random text,random text,random text,13/11/2005,random text,random text,1
random-0026,random text,random text,random text,0.194326764,69,random text,394.0727547,7793191.56,149.8322552,11577744.74,5014.306947,1924633.116,random text,random text,random text,random text,27/09/2003,random text,random text,1
random-0027,random text,random text,random text,0.531874673,71,random text,342.332981,1858097.24,483.5869419,2324413.743,3327.947452,2020193.237,random text,random text,random text,random text,10/07/2003,random text,random text,1
random-0028,random text,random text,random text,0.4089269,100,random text,444.5854546,6962497.71,468.119017,10095233.14,1701.46886,2854484.038,random text,random text,random text,random text,14/10/2012,random text,random text,1
random-0029,random text,random text,random text,0.192130039,38,random text,94.76917615,7791327.607,317.7198766,2808143.586,5695.548717,1877386.125,random text,random text,random text,random text,29/07/2008,random text,random text,1
random-0030,random text,random text,random text,0.264004515,292,random text,293.666554,7620110.247,290.8284085,4603232.249,2060.482683,1203224.694,random text,random text,random text,random text,28/07/2010,random text,random text,1
random-0031,random text,random text,random text,0.420245864,201,random text,362.6630526,3192989.9,373.5827787,6319270.431,2963.613487,885704.6725,random text,random text,random text,random text,11/05/2004,random text,random text,1
random-0032,random text,random text,random text,0.521304619,155,random text,419.4060816,1239768.239,299.7970063,4205842.508,2588.255344,714879.2912,random text,random text,random text,random text,17/09/2007,random text,random text,1
random-0033,random text,random text,random text,0.797376344,86,random text,328.2965735,2143713.614,430.9242956,11944742.41,4274.508651,2403185.772,random text,random text,random text,random text,11/10/2012,random text,random text,1
random-0034,random text,random text,random text,0.728415055,232,random text,335.8629908,4497819.679,442.0269206,4730587.245,3164.900818,908958.9368,random text,random text,random text,random text,10/09/2002,random text,random text,1
random-0035,random text,random text,random text,0.487638007,65,random text,399.3885492,5950039.008,235.9239986,9870236.033,3546.311011,929474.6327,random text,random text,random text,random text,17/11/2001,random text,random text,1
random-0036,random text,random text,random text,0.633209692,43,random text,408.4057027,1884107.035,445.8203449,10705348.98,1811.289313,2820519.263,random text,random text,random text,random text,8/11/2011,random text,random text,1
random-0037,random text,random text,random text,0.350758629,189,random text,340.1876253,6050943.16,202.6072849,12672192.58,5449.674132,2134012.147,random text,random text,random text,random text,24/08/2013,random text,random text,1
random-0038,random text,random text,random text,0.773368071,104,random text,142.318665,3170044.097,543.0854138,4626764.727,2808.382939,706259.2175,random text,random text,random text,random text,8/03/2002,random text,random text,1
random-0039,random text,random text,random text,0.406811452,174,random text,74.28248986,8285440.216,546.8516518,8416179.967,2990.602995,2495325.839,random text,random text,random text,random text,12/09/2003,random text,random text,1
random-0040,random text,random text,random text,0.736538413,179,random text,122.4488388,4674842.939,634.2738547,2997063.445,1317.167548,2340077.54,random text,random text,random text,random text,29/09/2004,random text,random text,1
random-0041,random text,random text,random text,0.273571732,178,random text,420.8771358,2826718.341,587.4571561,11671050.34,1002.66915,2629742.818,random text,random text,random text,random text,24/08/2010,random text,random text,1
random-0042,random text,random text,random text,0.288177983,136,random text,72.48383403,2029998.576,553.3302755,2592079.162,5464.924229,1884356.063,random text,random text,random text,random text,11/05/2004,random text,random text,1
random-0043,random text,random text,random text,0.630091899,124,random text,456.8880014,5293307.019,356.3770469,5942811.252,1680.877391,364261.653,random text,random text,random text,random text,28/04/2013,random text,random text,1
random-0044,random text,random text,random text,0.509618606,180,random text,381.2293127,7264385.993,301.7724097,6435784.897,5290.049949,1658115.125,random text,random text,random text,random text,22/06/2008,random text,random text,1
random-0045,random text,random text,random text,0.500761431,111,random text,307.7118219,1122583.414,194.2335665,5788908.667,3030.574888,1817322.309,random text,random text,random text,random text,22/01/2002,random text,random text,1
random-0046,random text,random text,random text,0.78217359,83,random text,241.9273122,5328509.951,494.8534346,3837379.371,4109.525306,2304917.302,random text,random text,random text,random text,10/02/2005,random text,random text,1
random-0047,random text,random text,random text,0.867528928,116,random text,219.8435782,4601486.466,568.4058237,5780421.405,3138.627963,1181501.258,random text,random text,random text,random text,7/03/2009,random text,random text,1
random-0048,random text,random text,random text,0.651355581,196,random text,155.9014978,5020938.538,131.1477327,2411935.942,855.8976382,1825597.899,random text,random text,random text,random text,30/09/2005,random text,random text,1
random-0049,random text,random text,random text,0.72272748,75,random text,95.34020536,8022450.163,208.273356,6528115.539,5048.654916,2429176.473,random text,random text,random text,random text,3/06/2004,random text,random text,1
random-0050,random text,random text,random text,0.513264181,279,random text,371.2288945,3545245.798,194.4388708,11228345.02,4953.909163,2352609.979,random text,random text,random text,random text,3/01/2008,random text,random text,1
random-0051,random text,random text,random text,0.199569698,260,random text,198.9074564,8328138.422,292.804603,7506707.135,1093.2638,1481190.727,random text,random text,random text,random text,1/05/2014,random text,random text,1
random-0052,random text,random text,random text,0.820438305,26,random text,333.6079879,6966638.08,615.9845605,11607921.58,5445.822762,1327552.512,random text,random text,random text,random text,21/05/2010,random text,random text,1
random-0053,random text,random text,random text,0.75631815,220,random text,175.3766943,1932009.973,537.9967985,4698872.654,5534.906396,720158.4709,random text,random text,random text,random text,27/09/2000,random text,random text,1
random-0054,random text,random text,random text,0.416247548,259,random text,180.8187213,3194567.357,539.953297,11001148.49,4497.332184,575756.6679,random text,random text,random text,random text,14/04/2009,random text,random text,1
random-0055,random text,random text,random text,0.658999672,145,random text,48.64800958,5256161.623,172.361827,1735675.06,3022.781525,2542003.662,random text,random text,random text,random text,4/11/2006,random text,random text,1
random-0056,random text,random text,random text,0.81498462,133,random text,177.7055579,1539350.883,628.0947855,11481518.1,2894.297378,1453115.069,random text,random text,random text,random text,25/12/2011,random text,random text,1
random-0057,random text,random text,random text,0.788828461,173,random text,226.2594134,2079611.129,106.8527571,8476662.008,4964.894976,1854459.669,random text,random text,random text,random text,11/02/2010,random text,random text,1
random-0058,random text,random text,random text,0.206399913,232,random text,173.7099537,6195591.256,77.12731059,5417089.714,4311.990417,2487531.849,random text,random text,random text,random text,22/12/2005,random text,random text,1
random-0059,random text,random text,random text,0.829133362,45,random text,96.43239078,4439857.285,480.5939721,6135078.267,2248.064341,1797367.104,random text,random text,random text,random text,10/04/2004,random text,random text,1
random-0060,random text,random text,random text,0.565583987,182,random text,350.3570732,7232205.821,450.9432373,8024280.58,2753.842162,1271883.039,random text,random text,random text,random text,10/03/2005,random text,random text,1
random-0061,random text,random text,random text,0.25341074,245,random text,89.48634955,3547035.945,262.8891465,5228293.651,2868.125262,787113.6609,random text,random text,random text,random text,25/07/2003,random text,random text,1
random-0062,random text,random text,random text,0.528515437,243,random text,369.2253729,5482198.266,265.7695971,5605734.12,2229.733005,2798922.307,random text,random text,random text,random text,15/01/2009,random text,random text,1
random-0063,random text,random text,random text,0.181918522,260,random text,337.7944279,6796665.223,628.3271799,7729067.145,5651.10657,3002916.796,random text,random text,random text,random text,6/11/2003,random text,random text,1
random-0064,random text,random text,random text,0.600117825,258,random text,170.7267394,8096417.461,383.452885,12644398.66,5707.906544,2127907.808,random text,random text,random text,random text,7/04/2004,random text,random text,1
random-0065,random text,random text,random text,0.585401092,186,random text,80.90282636,8199419.573,350.1627089,2116763.897,2872.039886,2096261.792,random text,random text,random text,random text,25/02/2010,random text,random text,1
random-0066,random text,random text,random text,0.494959709,216,random text,172.0323897,2982134.569,92.88549887,4133748.188,5143.592099,1300237.603,random text,random text,random text,random text,31/01/2010,random text,random text,1
random-0067,random text,random text,random text,0.711071113,75,random text,244.7618752,5424908.315,96.54486517,7396478.476,3437.928228,3035602.947,random text,random text,random text,random text,14/02/2001,random text,random text,1
random-0068,random text,random text,random text,0.756902952,57,random text,269.1903129,1432898.088,146.779978,10545003.52,1623.645545,765983.3867,random text,random text,random text,random text,8/10/2012,random text,random text,1
random-0069,random text,random text,random text,0.578963612,153,random text,336.8578635,3688153.522,96.90979267,1836890.175,3811.158285,1466010.356,random text,random text,random text,random text,8/12/2007,random text,random text,1
random-0070,random text,random text,random text,0.778171313,235,random text,317.5435998,3814171.884,201.521553,5095279.162,3214.058174,809070.4353,random text,random text,random text,random text,25/07/2009,random text,random text,1
random-0071,random text,random text,random text,0.189497909,47,random text,336.7245032,8196927.279,553.9937129,1634619.966,4061.123224,1501886.971,random text,random text,random text,random text,22/06/2002,random text,random text,1
random-0072,random text,random text,random text,0.848913328,144,random text,339.500319,2810714.385,482.9468099,2866701.011,3995.334835,1139053.883,random text,random text,random text,random text,16/04/2004,random text,random text,1
random-0073,random text,random text,random text,0.885636326,156,random text,130.8882839,7796076.463,520.1501961,4686334.38,4226.068401,1245245.864,random text,random text,random text,random text,29/03/2011,random text,random text,1
random-0074,random text,random text,random text,0.323429809,141,random text,79.30206201,1485000.761,491.464552,4632926.837,3619.11645,3068805.759,random text,random text,random text,random text,18/04/2005,random text,random text,1
random-0075,random text,random text,random text,0.155164902,241,random text,247.3931986,4213184.881,121.1232469,9891353.597,4112.115617,1208033.14,random text,random text,random text,random text,12/05/2008,random text,random text,1
random-0076,random text,random text,random text,0.788690574,73,random text,125.0575475,3234567.757,149.1703934,2415424.732,4601.386739,1864425.786,random text,random text,random text,random text,4/10/2011,random text,random text,1
random-0077,random text,random text,random text,0.390809231,241,random text,429.9324904,1214528.285,544.999058,4584588.426,4864.964029,3118594.668,random text,random text,random text,random text,13/05/2001,random text,random text,1
random-0078,random text,random text,random text,0.471683951,218,random text,173.3165351,2118811.709,154.3780788,11783373.82,2118.970025,1026209.666,random text,random text,random text,random text,15/06/2004,random text,random text,1
random-0079,random text,random text,random text,0.204397465,195,random text,65.76258277,4144324.284,523.2748834,8545869.89,4835.119625,2694697.698,random text,random text,random text,random text,9/01/2004,random text,random text,1
random-0080,random text,random text,random text,0.261425535,280,random text,48.19172272,6768677.934,583.4784644,7162492.055,5745.505641,1607063.998,random text,random text,random text,random text,15/06/2014,random text,random text,1
random-0081,random text,random text,random text,0.643860102,152,random text,395.2220998,5782868.852,623.1400789,5024716.059,3905.185985,783774.5993,random text,random text,random text,random text,25/10/2013,random text,random text,1
random-0082,random text,random text,random text,0.882186857,251,random text,73.79770265,7616678.084,497.9349874,11109065.87,2266.288906,2535448.846,random text,random text,random text,random text,19/05/2004,random text,random text,1
random-0083,random text,random text,random text,0.488553921,103,random text,206.8357287,3684576.275,561.5312841,6373692.247,1322.856159,1662147.922,random text,random text,random text,random text,25/10/2005,random text,random text,1
random-0084,random text,random text,random text,0.342879956,144,random text,404.9231025,6820298.423,592.0444465,4034371.427,2866.472591,1364102.775,random text,random text,random text,random text,12/08/2005,random text,random text,1
random-0085,random text,random text,random text,0.812358371,175,random text,393.2258902,7778561.755,75.63719424,8914745.899,3881.939184,619633.0464,random text,random text,random text,random text,4/10/2008,random text,random text,1
random-0086,random text,random text,random text,0.25045493,159,random text,432.5946074,3249983.016,525.2723626,3350138.917,2789.544154,1740314.156,random text,random text,random text,random text,17/12/2001,random text,random text,1
random-0087,random text,random text,random text,0.395314309,85,random text,100.6654859,4281660.761,557.1071677,7339678.612,2145.011168,2861374.578,random text,random text,random text,random text,15/08/2005,random text,random text,1
random-0088,random text,random text,random text,0.164518429,43,random text,157.4890229,5837659.171,93.17430351,12771479.84,1099.205645,1793023.429,random text,random text,random text,random text,16/06/2013,random text,random text,1
random-0089,random text,random text,random text,0.750984782,114,random text,118.4893984,3464683.406,304.9206348,12024402.51,3626.423759,2911251.61,random text,random text,random text,random text,13/03/2013,random text,random text,1
random-0090,random text,random text,random text,0.373246787,69,random text,93.90773057,4475760.398,225.6744281,6451690.143,2570.251631,1070026.529,random text,random text,random text,random text,29/09/2004,random text,random text,1
random-0091,random text,random text,random text,0.647561126,45,random text,420.5722548,1645957.337,179.7408512,7377262.916,2411.310816,2990775.497,random text,random text,random text,random text,24/10/2011,random text,random text,1
random-0092,random text,random text,random text,0.798542431,75,random text,210.7969961,1050895.959,506.0831406,6663576.794,3534.368239,997223.5429,random text,random text,random text,random text,28/08/2002,random text,random text,1
random-0093,random text,random text,random text,0.505828587,94,random text,43.53569289,6014640.869,129.0270069,4645893.109,5807.083044,917986.8887,random text,random text,random text,random text,3/04/2008,random text,random text,1
random-0094,random text,random text,random text,0.5701144,174,random text,212.0507321,5003641.882,245.6905035,8639505.852,4207.31568,2863943.297,random text,random text,random text,random text,15/08/2003,random text,random text,1
random-0095,random text,random text,random text,0.506219913,101,random text,68.19831034,8065046.524,423.5474231,9243742.768,954.1974366,2597297.743,random text,random text,random text,random text,15/05/2013,random text,random text,1
random-0096,random text,random text,random text,0.796751273,149,random text,449.7134054,3493181.58,391.9630636,4324113.623,1886.13007,2927684.456,random text,random text,random text,random text,1/01/2005,random text,random text,1
random-0097,random text,random text,random text,0.443420835,53,random text,393.3322954,7188546.265,311.4068359,10608455.28,2944.531723,825298.7911,random text,random text,random text,random text,19/04/2014,random text,random text,1
random-0098,random text,random text,random text,0.573090654,192,random text,288.3012362,4583008.909,441.9056045,5545740.238,1979.671606,3017957.198,random text,random text,random text,random text,16/08/2005,random text,random text,1
random-0099,random text,random text,random text,0.358757809,149,random text,359.7576534,5052510.722,548.16261,2872650.422,1164.895986,1569535.475,random text,random text,random text,random text,3/05/2011,random text,random text,1
random-0100,random text,random text,random text,0.300571669,214,random text,398.4163632,5388859.945,574.7086032,5181460.695,1892.732924,708370.9606,random text,random text,random text,random text,21/07/2014,random text,random text,1
