first,last,party,birth_date,gender,win_rating,blurb
Cory,Booker,democratic-party,1969-04-27,male,Contender,"He kicked off the opposition to Brett Kavanaugh with his ""I am Spartacus"" moment that drew the ire of Republican colleagues."
Sherrod,Brown,democratic-party,1952-11-09,male,Underdog,"He's the Democrat who continues to win in Ohio, a critical swing state that has befuddled other Democratic presidential candidates in the last two decades who are not named Barack Obama."
Kirsten,Gillibrand,democratic-party,1966-12-09,female,Underdog,Her determined approach to sexual assault and misconduct led her to say Bill Clinton should have resigned during the Monica Lewinsky scandal. Then she led the call among Senate Democrats for Al Franken to resign. Both stances triggered ire among some party donors and activists.
Tim,Kaine,democratic-party,1958-02-26,male,Longshot,"HeÕs stayed quiet on the presidential race, focusing heavily on his reelection campaign. But his resume is as detailed as anyone on this list, including two thorough vettings as a potential Veep."
Amy,Klobuchar,democratic-party,1960-05-25,female,Contender,"SheÕs the cautious centrist in a caucus full of characters. A Democrat in a state Trump came very close to winning, in recent years she's made many trips to neighboring Iowa."
Jeff,Merkley,democratic-party,1956-10-24,male,Longshot,"The only senator to endorse Sanders in 2016, Merkley went viral early this year with a series of videos on opposing the Trump administration's policy of separating migrant families at the border."
Kamala,Harris,democratic-party,1964-10-20,female,Contender,"SheÕs used her perch on top committees to grill Trump administration officials and Kavanaugh. She stumped in all early states but New Hampshire, and cut checks to all of their state parties. Her advisers are plotting out an ""SEC primary meets the West Coast offense"" that will play up California's earlier status and seek to make inroads in states like South Carolina and Nevada."
Bernie,Sanders,democratic-party,1941-09-08,male,Contender,HeÕs defied all predictions by going from an unknown senator to a progressive icon. His signature issues have become the lingua franca of liberals on this list.
Mark,Warner,democratic-party,1954-12-15,male,Longshot,"HeÕs the Democratic face of the Russia probe, built from his role as the Senate Intelligence CommitteeÕs ranking member. Warner has tried testing the waters in previous cycles, but heÕs never before had a platform like the Russia investigation."
Elizabeth,Warren,democratic-party,1949-06-22,female,Contender,"She was an academic who helped write the book on how to rein in Wall Street, only to have her dream job (running the Consumer Financial Protection Bureau) blocked by Republicans. As a senator she's animated the Democratic base with a populist economic message."
John,Delaney,democratic-party,1963-04-16,male,Longshot,"While almost everyone was trying to tamp down their public interest in running, Delaney announced his campaign and stumped in every early state along with airing TV ads. But can he survive the crush of news that will come as top-tier candidates announce?"
Tulsi,Gabbard,democratic-party,1981-04-12,female,Longshot,"She flouted the DNC in 2016 and backed up Sanders. Her approach to foreign policy, including a visit with Syrian President Bashar Assad, put her outside many in the Democratic mainstream."
Joe,Kennedy,democratic-party,1980-10-04,male,Longshot,He provided the 2018 Democratic English-language response to the State of the Union. References to his famous family are never far away.
