Purchase_Order_Number_Combined,District_Code,Warehouse_Identification,FPA_Group,FPA_Agreement_Number,FPA_Item_Number,Supplier_Price_Code1,UOI_Original_Quantity,UOI_Original_Net_Price1,UOI_Current_Quantity1,UOI_Current_Net_Price,Total,Stock_Code,Item_Name_line,Stock_Description,Employee_Identification,FullName,Purchase_Order_Date,Supplier_Number,Supplier_Name,Item_Status_Code
random text,random text,random text,random text,0.4834216594911679,240,random text,380.9701061106883,7496109.727133451,106.30667960996598,10902767.70815306,5409.2741583690395,2286721.3434768817,random text,random text,random text,random text,2001-07-19,random text,random text,1
random text,random text,random text,random text,0.15592477491544235,113,random text,116.93561939802166,4521491.684268462,397.0816474744224,11838981.632114716,5051.924874693027,2605108.4862384335,random text,random text,random text,random text,2011-10-20,random text,random text,1
random text,random text,random text,random text,0.4667481677711677,65,random text,289.8742716264725,4182335.8901178692,267.06545025164417,7180690.223068315,1036.4846074140403,2972920.1046962375,random text,random text,random text,random text,2003-05-20,random text,random text,1
random text,random text,random text,random text,0.6117469124450253,55,random text,346.1967145451421,1583265.7762268446,539.0498920319379,6206818.626394974,2999.118286854754,754678.663476018,random text,random text,random text,random text,2008-06-20,random text,random text,1
random text,random text,random text,random text,0.6453840070409386,239,random text,109.67923145214651,1794463.5708137583,469.5829181078362,10267302.189421497,987.3172266334342,1661393.2250657107,random text,random text,random text,random text,2008-10-30,random text,random text,1
random text,random text,random text,random text,0.28493679059374066,198,random text,325.7057079698056,2811943.2969331946,429.1347122937802,9479487.398769263,3668.7473083661052,751491.0371757317,random text,random text,random text,random text,2001-04-19,random text,random text,1
random text,random text,random text,random text,0.31452977415955863,212,random text,273.06147967767765,4092519.548617132,223.65472458677235,4722295.674248826,3611.732790391503,1957083.6224783568,random text,random text,random text,random text,2012-06-21,random text,random text,1
random text,random text,random text,random text,0.81018672189885,129,random text,354.90002425981896,6833454.132054884,333.37300747763214,6847792.755600699,4929.285644076225,2649106.223168594,random text,random text,random text,random text,2008-07-24,random text,random text,1
random text,random text,random text,random text,0.7446031985166326,119,random text,340.50551912180106,6547960.29563256,215.27709306424916,8539862.520341309,4866.24100653423,551135.9473662764,random text,random text,random text,random text,2010-05-20,random text,random text,1
random text,random text,random text,random text,0.5457357128828646,55,random text,393.9812285338584,6697707.699818822,126.10386082559114,7061727.456675732,3981.69478123756,1331870.8628287767,random text,random text,random text,random text,2004-03-12,random text,random text,1
