Purchase_Order_Number_Combined,District_Code,Warehouse_Identification,FPA_Group,FPA_Agreement_Number,FPA_Item_Number,Supplier_Price_Code1,UOI_Original_Quantity,UOI_Original_Net_Price1,UOI_Current_Quantity1,UOI_Current_Net_Price,Total,Stock_Code,Item_Name_line,Stock_Description,Employee_Identification,FullName,Purchase_Order_Date,Supplier_Number,Supplier_Name,Item_Status_Code
random text,random text,random text,random text,0.46675242809891093,205,random text,48.384678988369586,892780.0264706707,607.5414604455027,2819851.066951776,5891.380233567337,932954.0563509737,random text,random text,random text,random text,2014-09-11,random text,random text,1
random text,random text,random text,random text,0.3203423006476591,218,random text,304.4314678156582,2647531.939561233,281.8967221941938,8324496.411341795,5841.527522786011,2143018.454247047,random text,random text,random text,random text,2001-03-21,random text,random text,1
random text,random text,random text,random text,0.8449500965650233,73,random text,188.1767991209682,7031228.293073978,573.6817368164672,11543690.765174763,4482.120164376887,2257869.765028357,random text,random text,random text,random text,2011-06-22,random text,random text,1
random text,random text,random text,random text,0.48685918675432105,27,random text,320.5739860765562,3995749.138871384,256.08902579195603,6239293.016843776,3020.030338194426,557756.6523505019,random text,random text,random text,random text,2014-10-16,random text,random text,1
random text,random text,random text,random text,0.8600118506210175,244,random text,359.79726509364656,6398138.444454806,173.9300269425868,6013241.1047924375,4784.531409416697,3188342.955070589,random text,random text,random text,random text,2003-01-20,random text,random text,1
random text,random text,random text,random text,0.3673636895352085,174,random text,303.13485866901294,5295025.06785827,316.21254276756554,5966160.852733215,3104.9582923458192,2184151.6844236,random text,random text,random text,random text,2008-02-21,random text,random text,1
random text,random text,random text,random text,0.864909107011905,194,random text,425.15058500370446,5799268.238596034,549.6679092972438,4155234.5597603098,5606.735327238292,1273113.9599985278,random text,random text,random text,random text,2008-07-02,random text,random text,1
random text,random text,random text,random text,0.6423990505300797,95,random text,327.5387804441826,7706182.166054214,526.0386481471,7677754.485864775,5003.420493144433,2283604.9072973356,random text,random text,random text,random text,2014-06-02,random text,random text,1
random text,random text,random text,random text,0.2836403338674887,82,random text,466.07571503878216,5782942.321625834,354.21536483161964,6288362.440800917,3489.828136738351,495001.997189356,random text,random text,random text,random text,2000-12-20,random text,random text,1
random text,random text,random text,random text,0.4160388518499675,103,random text,104.16920562272875,2899679.1533451877,384.60187050968295,1601457.513576897,5523.069767565003,2552214.6048853463,random text,random text,random text,random text,2012-02-22,random text,random text,1
random text,random text,random text,random text,0.5526797972421983,213,random text,343.57549332534927,4261033.00386997,249.47983432671168,12395695.079621041,2113.1024693964528,2665303.777024333,random text,random text,random text,random text,2008-03-26,random text,random text,1
random text,random text,random text,random text,0.9453000821238402,177,random text,388.9949423309366,7753149.178518059,542.8241337359228,4667936.588164517,2350.221418914258,1110538.08083228,random text,random text,random text,random text,2010-01-20,random text,random text,1
random text,random text,random text,random text,0.22395550401753545,295,random text,74.02812424084601,3241217.9090362205,499.90506970550473,8586115.64264974,4706.784227040045,3207470.3091545166,random text,random text,random text,random text,2003-11-13,random text,random text,1
random text,random text,random text,random text,0.8805130960375913,80,random text,61.473290809252646,7646983.32616457,295.5582344809513,11963076.463700669,2817.7646229996844,2147478.28569886,random text,random text,random text,random text,2015-04-16,random text,random text,1
random text,random text,random text,random text,0.13959812260591048,230,random text,184.06722706033815,2193762.9589561503,283.36727049199266,10142242.420460476,4615.6844983779265,2046618.6189640106,random text,random text,random text,random text,2012-10-07,random text,random text,1
random text,random text,random text,random text,0.44302435134262885,300,random text,450.22252515300187,7883882.681910118,156.49287276357904,3233012.382642544,2268.4728058080154,1468263.934451947,random text,random text,random text,random text,2008-09-07,random text,random text,1
random text,random text,random text,random text,0.32863790493197065,137,random text,145.32816060441445,6197691.475969193,526.5135797685282,4540722.8221042035,4454.045263546232,1494628.7340697453,random text,random text,random text,random text,2007-06-19,random text,random text,1
random text,random text,random text,random text,0.7878508111856352,72,random text,283.7326857840498,2418817.482997762,335.51551892391774,5520940.7669162,5147.10002207809,2708782.4152825056,random text,random text,random text,random text,2001-04-07,random text,random text,1
random text,random text,random text,random text,0.21006491679148048,41,random text,384.5391649850246,2315743.3115045554,312.12458290757104,5103781.179673899,5094.98186615032,1647582.7393371335,random text,random text,random text,random text,2010-04-30,random text,random text,1
random text,random text,random text,random text,0.6542064608009659,71,random text,170.44986440127911,656877.5835994382,365.1245426624463,6072782.593831852,4979.917692914274,406412.2322798078,random text,random text,random text,random text,2013-08-14,random text,random text,1
random text,random text,random text,random text,0.6384926161619414,85,random text,263.5354486564148,4783507.0599112185,208.26526011694256,9286899.490131354,796.0238617494817,3056410.843538328,random text,random text,random text,random text,2002-02-11,random text,random text,1
random text,random text,random text,random text,0.1867937806407381,249,random text,177.05902408716463,6896420.860252839,105.96705218310066,2633834.6917956704,4396.250026167732,1772454.6535847038,random text,random text,random text,random text,2007-10-09,random text,random text,1
random text,random text,random text,random text,0.4304902604063644,118,random text,173.60085485415232,5717950.612871877,165.09127806206894,1744730.1152682905,1855.8599740401025,2750952.0813474334,random text,random text,random text,random text,2008-12-03,random text,random text,1
random text,random text,random text,random text,0.9028880431081483,129,random text,456.9718018850901,3306109.01867586,266.4320081831526,5242501.21925412,2392.919484327645,719402.5126207949,random text,random text,random text,random text,2002-08-21,random text,random text,1
random text,random text,random text,random text,0.6998925492400419,56,random text,88.77998052932301,2046842.013918756,384.96697534871345,10464696.159592826,5127.348412641888,1168098.0124889598,random text,random text,random text,random text,2004-10-03,random text,random text,1
random text,random text,random text,random text,0.9471232746151522,128,random text,378.790174541937,3704753.4172195764,619.6953237973091,4024749.1474751234,4503.613887878955,2412279.529970815,random text,random text,random text,random text,2010-04-18,random text,random text,1
random text,random text,random text,random text,0.11179798845591288,192,random text,263.37766628956734,3907461.7798825805,620.1212630239559,10856877.975284062,3333.902484270849,2964784.3071258576,random text,random text,random text,random text,2005-09-29,random text,random text,1
