Purchase_Order_Number_Combined,District_Code,Warehouse_Identification,FPA_Group,FPA_Agreement_Number,FPA_Item_Number,Supplier_Price_Code1,UOI_Original_Quantity,UOI_Original_Net_Price1,UOI_Current_Quantity1,UOI_Current_Net_Price,Total,Stock_Code,Item_Name_line,Stock_Description,Employee_Identification,FullName,Purchase_Order_Date,Supplier_Number,Supplier_Name,Item_Status_Code
random text,random text,random text,random text,0.7602609916482039,223,random text,195.30603518685717,8105033.707284398,469.3189130596147,8682641.622853704,2827.686066825034,2998103.9612567653,random text,random text,random text,random text,2001-07-04,random text,random text,1
random text,random text,random text,random text,0.58248706706224,185,random text,126.58627813648508,1615573.4125438798,108.94856275143943,4982766.936179442,2681.319577464755,1196799.6858546685,random text,random text,random text,random text,2011-10-05,random text,random text,1
random text,random text,random text,random text,0.7521596258696366,178,random text,132.5876611151532,8010683.3902135715,290.35421594143986,7201164.65214519,1520.5713156337952,888934.6928996949,random text,random text,random text,random text,2003-05-05,random text,random text,1
random text,random text,random text,random text,0.8505488084323334,207,random text,271.79528117592275,5851518.952462429,468.74870174694627,6592230.04746937,5416.027099219655,2515903.9544314425,random text,random text,random text,random text,2008-06-05,random text,random text,1
random text,random text,random text,random text,0.633860938046857,270,random text,367.6919360500861,4942879.160775857,477.6669897209805,5638673.925774934,3881.4687215210406,677216.3831463153,random text,random text,random text,random text,2008-10-15,random text,random text,1
random text,random text,random text,random text,0.38518940531462637,249,random text,262.1578755852942,7962414.195742765,111.34088321820329,5050074.471120188,2859.7410594311395,1278106.5711359456,random text,random text,random text,random text,2001-04-04,random text,random text,1
random text,random text,random text,random text,0.6808255723842684,70,random text,66.00786010112171,6480365.5767922215,582.1320682360398,11234713.569584187,1122.1766655511356,2283849.4482053774,random text,random text,random text,random text,2012-06-06,random text,random text,1
random text,random text,random text,random text,0.6381702596719339,147,random text,326.4150897401604,5513622.512416692,370.715113789151,8169631.914368227,2338.463332737108,2984334.779339957,random text,random text,random text,random text,2008-07-09,random text,random text,1
random text,random text,random text,random text,0.3905174440160897,215,random text,182.13382735278543,5998815.014527885,124.14681039738238,10855618.252751237,1123.2589150973959,665467.8560447474,random text,random text,random text,random text,2010-05-05,random text,random text,1
random text,random text,random text,random text,0.19793712528417912,154,random text,215.42706163527282,3734917.6056401622,129.88742012949973,4186875.772523721,2931.612681067435,2307193.1616102695,random text,random text,random text,random text,2004-02-26,random text,random text,1
random text,random text,random text,random text,0.2708536046587285,261,random text,151.17271014553927,5917218.316170417,598.151186083476,10566762.421218049,5572.51622707969,1334036.1920691498,random text,random text,random text,random text,2013-01-20,random text,random text,1
random text,random text,random text,random text,0.5575292236150595,218,random text,248.90600103357036,7325523.28247484,291.735471952184,6123147.889128062,3235.6232312101783,1328355.7560471084,random text,random text,random text,random text,2008-12-21,random text,random text,1
random text,random text,random text,random text,0.2063824017932019,64,random text,409.66210158908956,7020124.815016627,443.6393858446743,7168371.299143003,5201.535349782992,1954075.0676449898,random text,random text,random text,random text,2007-10-02,random text,random text,1
random text,random text,random text,random text,0.7866834144229575,251,random text,394.6748818127965,2300381.4794790302,120.90162468734664,6468249.871123761,2682.8456749091592,1167065.17937052,random text,random text,random text,random text,2001-07-21,random text,random text,1
random text,random text,random text,random text,0.17300111321458758,109,random text,134.08768939650588,5301647.08535026,241.3371406298369,10448924.26029934,3622.177805357645,1649001.5790254835,random text,random text,random text,random text,2010-08-13,random text,random text,1
random text,random text,random text,random text,0.5373495357388534,66,random text,381.9147608880857,7001400.665586304,151.34660346328576,10095434.636787474,4551.53454928529,959301.7651920128,random text,random text,random text,random text,2013-11-27,random text,random text,1
random text,random text,random text,random text,0.719070493394296,239,random text,156.44221355942926,6577104.0342099145,142.70544834468015,7484208.760200469,1547.019596284637,1699322.5610907213,random text,random text,random text,random text,2002-05-27,random text,random text,1
random text,random text,random text,random text,0.8112700596405449,133,random text,226.6920702027092,2781654.3681050753,104.4574900281162,2679385.9105624664,1854.6921865274296,1874335.0819247786,random text,random text,random text,random text,2008-01-22,random text,random text,1
random text,random text,random text,random text,0.3029373941862172,239,random text,229.95290940903539,6061022.17979173,573.5669331292181,6030518.639954314,3925.243211187566,1574016.7945017663,random text,random text,random text,random text,2009-03-18,random text,random text,1
random text,random text,random text,random text,0.5596162970770089,62,random text,139.61709156108887,5962437.37354446,155.83169771004788,3282096.6074618315,1296.0703474220677,2297381.332156383,random text,random text,random text,random text,2002-12-04,random text,random text,1
