,index,action,appPackage,category,contactSignificantContext,numberUpdates,p1,p2,p3,p4,p5,p6,posted,postedDayOfWeek,postedTimeOfDay,priority,removed,response,subject
0,56,False,io.wia.wia,unknown,False,-0.47957885,-0.8975381,0.58880126,-0.2854972,-0.3554177,0.21488559000000002,0.67758274,1530425894738.086,4,morn,0,1530425954738.086,short,unknown
1,33,True,com.whatsapp,unknown,True,-1.0296574,2.2793388,-0.7560756,-0.6789683,0.89573264,-0.11235875000000001,0.87001324,1530426434738.086,4,morn,1,1530427514738.086,medium,unknown
2,70,True,com.whatsapp,msg,True,16.921385,1.7668613,-0.66822845,0.07205526,0.15131609999999998,0.03792953,1.1496260999999999,1530428354738.086,4,morn,1,1530428894738.086,medium,unknown
3,24,True,com.whatsapp,msg,False,-9.939955,1.3481864,0.73460513,0.77441,0.21831428,0.5205428,0.7095513999999999,1530428594738.086,4,morn,0,1530428894738.086,medium,unknown
4,61,True,com.whatsapp,unknown,False,-12.236179,0.056745157000000004,0.50446004,-0.5003103600000001,0.14425278,0.5415525999999999,0.45065504,1530428954738.086,4,morn,0,1530430514738.086,medium,unknown
5,12,True,com.whatsapp,unknown,True,-3.115724,1.4237084,-0.28963706,-0.27753323,0.5736465,0.03859931,-0.42162659999999996,1530429134738.086,4,morn,1,1530429974738.086,medium,unknown
6,55,True,com.google.android.googlequicksearchbox,unknown,False,-0.42001706,0.072424784,0.8198477,0.37210977,-1.0063155,0.28814593,1.8940698999999999,1530429194738.086,4,morn,0,1530430754738.086,medium,unknown
7,40,True,com.whatsapp,unknown,False,2.273123,0.95415574,0.35246995000000003,-0.061680740000000005,0.19359718,0.28973162,0.08972141,1530429674738.086,4,morn,0,1530429974738.086,medium,unknown
8,45,False,com.google.android.apps.maps,msg,False,17.2383,0.06658188,1.8420236,1.2061373,0.49134669999999997,1.1747738,-0.042567156,1530429794738.086,4,morn,-2,1530435434738.086,long,unknown
9,5,True,com.google.android.googlequicksearchbox,unknown,True,3.776726,0.22994969999999998,0.43140757,0.1858437,-1.0455658,0.18356636,1.0013602,1530430274738.086,4,morn,0,1530430574738.086,short,unknown
10,18,True,com.whatsapp,msg,True,19.665115,0.33113348,1.0637281,-0.7543681,-0.20222749,1.0064214,1.1087925,1530430394738.086,4,morn,1,1530431474738.086,medium,unknown
11,58,False,com.android.providers.downloads,msg,False,19.825382,-0.29415727,0.582711,0.33722812,-0.48974392,1.206237,0.34585539,1530430814738.086,4,morn,-2,1530430814738.086,immediate,unknown
12,15,True,com.whatsapp,msg,False,8.750387,-0.15096462,1.0310315,1.2794913,0.27894926000000003,1.9117179,-0.26677948,1530432314738.086,4,morn,1,1530435494738.086,long,unknown
13,38,True,com.whatsapp,msg,True,13.189362,0.18253675,0.31179145,0.008423477,0.39921337,1.0297606,0.21476173,1530432494738.086,4,morn,1,1530433334738.086,medium,unknown
14,27,True,com.whatsapp,unknown,True,-7.337157,1.2762698000000001,-0.70116353,-0.90616786,1.2269759,-0.16194943,-0.36308959999999996,1530432614738.086,4,morn,0,1530433394738.086,medium,unknown
